accR:,accP:,gyroR:,gyroP:,gyroY:,cfroll:,cfpitch:
-0.012775, -0.011416,0.030642, -0.004663, 0.004796, -0.011657, -0.005271
-0.011982, -0.012935,0.034639, -0.005063, 0.005995, -0.011684, -0.005289
-0.009989, -0.008639,0.029576, -0.004663, 0.007994, -0.011668, -0.005240
-0.009224, -0.010907,0.034639, -0.002531, 0.009592, -0.011629, -0.005217
-0.011648, -0.008416,0.030909, -0.006262, 0.006795, -0.011654, -0.005160
-0.010648, -0.010112,0.032241, -0.003064, 0.008393, -0.011646, -0.005133
-0.012741, -0.011802,0.031042, -0.003331, 0.009459, -0.011681, -0.005145
-0.002166, -0.008868,0.031442, 0.000666, 0.006528, -0.011488, -0.005096
-0.008579, -0.019770,0.028244, -0.004929, 0.004929, -0.011449, -0.005279
-0.012042, -0.008813,0.028910, -0.003997, 0.006928, -0.011477, -0.005236
-0.012114, -0.007309,0.027578, -0.005196, 0.006795, -0.011510, -0.005169
-0.004914, -0.012421,0.032374, -0.005729, 0.006262, -0.011400, -0.005187
-0.009150, -0.012428,0.030775, -0.004663, 0.006661, -0.011373, -0.005212
-0.010472, -0.008391,0.031708, -0.002531, 0.008260, -0.011365, -0.005151
-0.012323, -0.015167,0.030775, -0.002798, 0.009059, -0.011396, -0.005231
-0.010542, -0.014580,0.030109, -0.004396, 0.007994, -0.011396, -0.005300
-0.011385, -0.005828,0.030109, -0.006128, 0.008527, -0.011419, -0.005192
-0.012761, -0.008688,0.034639, -0.004663, 0.008527, -0.011465, -0.005126
-0.005980, -0.014914,0.033040, -0.005329, 0.007860, -0.011376, -0.005192
-0.004283, -0.009858,0.031841, -0.005596, 0.006528, -0.011256, -0.005161
-0.008878, -0.011385,0.034905, -0.000799, 0.007860, -0.011211, -0.005149
-0.011585, -0.018291,0.030109, -0.006128, 0.008926, -0.011243, -0.005293
-0.008865, -0.009813,0.029443, -0.003997, 0.009193, -0.011211, -0.005268
-0.008095, -0.015919,0.029576, -0.005462, 0.007727, -0.011170, -0.005365
-0.010096, -0.009160,0.033840, -0.005596, 0.007061, -0.011171, -0.005309
-0.006538, -0.015906,0.030775, -0.004929, 0.009592, -0.011097, -0.005400
-0.012257, -0.010910,0.032374, -0.003197, 0.007327, -0.011133, -0.005383
-0.005593, -0.005795,0.032241, -0.004796, 0.007994, -0.011041, -0.005265
-0.013015, -0.012071,0.028111, -0.005729, 0.008793, -0.011103, -0.005291
-0.009229, -0.009768,0.028244, -0.005729, 0.009059, -0.011088, -0.005270
-0.010115, -0.011789,0.027844, -0.007594, 0.006128, -0.011098, -0.005291
-0.009424, -0.014942,0.029576, -0.004396, 0.006528, -0.011082, -0.005368
-0.006959, -0.005203,0.029177, -0.006128, 0.005995, -0.011024, -0.005251
-0.009029, -0.010377,0.030775, -0.003464, 0.006928, -0.010997, -0.005232
-0.008579, -0.009919,0.028111, -0.007061, 0.006262, -0.010977, -0.005216
-0.011254, -0.011454,0.029576, -0.002132, 0.008926, -0.010990, -0.005225
-0.008478, -0.003730,0.032641, -0.003597, 0.005329, -0.010954, -0.005067
-0.014971, -0.012476,0.026645, -0.002931, 0.006395, -0.011046, -0.005111
-0.012743, -0.007524,0.031575, -0.001998, 0.004796, -0.011088, -0.005035
-0.014816, -0.007713,0.027978, -0.008660, 0.008260, -0.011196, -0.004979
-0.009224, -0.012792,0.033040, -0.003730, 0.009459, -0.011172, -0.005006
-0.013456, -0.013997,0.032108, -0.004130, 0.007327, -0.011233, -0.005060
-0.012472, -0.008090,0.027045, -0.004663, 0.007594, -0.011276, -0.005014
-0.005389, -0.012058,0.027045, -0.003464, 0.006128, -0.011172, -0.005049
-0.014570, -0.018953,0.031708, -0.003997, 0.008926, -0.011256, -0.005203
-0.012333, -0.006777,0.029710, -0.005596, 0.008393, -0.011299, -0.005118
-0.016125, -0.012914,0.029843, -0.007461, 0.006528, -0.011425, -0.005157
-0.009091, -0.009633,0.028910, -0.007327, 0.005729, -0.011407, -0.005133
-0.011567, -0.011767,0.026779, -0.006795, 0.010525, -0.011437, -0.005161
-0.012104, -0.012307,0.030109, -0.005063, 0.007327, -0.011470, -0.005186
-0.015506, -0.008428,0.027578, -0.005729, 0.007327, -0.011573, -0.005142
-0.003297, -0.005384,0.034106, -0.002665, 0.011324, -0.011418, -0.005014
-0.013431, -0.012486,0.032507, -0.004396, 0.006528, -0.011476, -0.005036
-0.006944, -0.007147,0.033173, -0.001732, 0.009059, -0.011392, -0.004948
-0.010752, -0.017850,0.035305, -0.004130, 0.007727, -0.011395, -0.005067
-0.018499, -0.011504,0.031974, -0.005596, 0.007727, -0.011559, -0.005071
-0.014461, -0.012764,0.027178, -0.004130, 0.005063, -0.011634, -0.005118
-0.012120, -0.010428,0.032108, -0.003864, 0.006661, -0.011658, -0.005099
-0.013741, -0.018161,0.031974, -0.006528, 0.007594, -0.011726, -0.005234
-0.002570, -0.016904,0.034506, -0.000799, 0.007860, -0.011546, -0.005333
-0.011946, -0.014050,0.031442, -0.007594, 0.009193, -0.011583, -0.005384
-0.013132, -0.016806,0.033573, -0.000533, 0.007194, -0.011617, -0.005480
-0.007185, -0.006982,0.031841, -0.005462, 0.006928, -0.011549, -0.005386
-0.003317, -0.012320,0.032507, -0.003730, 0.008393, -0.011399, -0.005397
-0.004602, -0.011939,0.030775, -0.005462, 0.008393, -0.011285, -0.005407
-0.011654, -0.004648,0.030775, -0.005196, 0.009059, -0.011313, -0.005271
-0.011248, -0.015599,0.028377, -0.006395, 0.008660, -0.011336, -0.005367
-0.012668, -0.006334,0.031974, -0.003864, 0.005196, -0.011378, -0.005261
-0.008674, -0.008132,0.032774, -0.009326, 0.007194, -0.011361, -0.005190
-0.013858, -0.015953,0.031308, -0.007061, 0.006128, -0.011438, -0.005282
-0.014293, -0.012931,0.029976, -0.001332, 0.008393, -0.011500, -0.005318
-0.006116, -0.016598,0.029843, -0.007061, 0.005729, -0.011420, -0.005426
-0.013858, -0.007166,0.032108, -0.005862, 0.007860, -0.011492, -0.005335
-0.012539, -0.010405,0.030509, -0.003864, 0.006528, -0.011528, -0.005317
-0.011360, -0.013456,0.029576, -0.002132, 0.007194, -0.011533, -0.005364
