accR,accP,gyroR,gyroP,gyroY,cfroll,cfpitch
-0.004211, -0.004143,0.025313, -0.006661, 0.016254, -0.009570, -0.004994
-0.008056, -0.004129,0.019185, -0.010258, 0.015588, -0.009580, -0.004901
-0.006642, -0.015699,0.023181, -0.005329, 0.018785, -0.009542, -0.005026
-0.009579, -0.010591,0.025713, -0.003597, 0.015454, -0.009557, -0.005037
-0.003410, -0.005616,0.023048, -0.005063, 0.013989, -0.009454, -0.004958
-0.009239, -0.006454,0.021849, -0.007061, 0.016120, -0.009477, -0.004902
-0.009174, -0.003373,0.021982, -0.005995, 0.017319, -0.009495, -0.004785
-0.013610, -0.003589,0.023714, -0.003997, 0.014255, -0.009593, -0.004668
-0.005906, -0.005772,0.021849, -0.006128, 0.013589, -0.009543, -0.004605
-0.008111, -0.014585,0.019851, -0.010258, 0.016254, -0.009555, -0.004727
-0.009641, -0.015683,0.020783, -0.005995, 0.012390, -0.009580, -0.004864
-0.009543, -0.007930,0.024913, -0.003464, 0.015321, -0.009593, -0.004828
-0.009670, -0.007219,0.022382, -0.005729, 0.016653, -0.009617, -0.004788
-0.000814, -0.008347,0.023315, -0.006528, 0.016387, -0.009466, -0.004768
-0.006129, -0.002559,0.022116, -0.010525, 0.015055, -0.009441, -0.004637
-0.010436, -0.008799,0.023181, -0.006661, 0.019451, -0.009487, -0.004629
-0.013727, -0.002557,0.024380, -0.005995, 0.015588, -0.009595, -0.004492
-0.010071, -0.012674,0.023048, -0.005329, 0.015854, -0.009625, -0.004566
-0.009356, -0.003164,0.020117, -0.005462, 0.014788, -0.009641, -0.004459
-0.007127, -0.010860,0.020117, -0.007327, 0.016520, -0.009620, -0.004508
-0.012332, -0.007631,0.023181, -0.005462, 0.017053, -0.009696, -0.004480
-0.007641, -0.006018,0.022116, -0.007061, 0.016387, -0.009682, -0.004424
-0.004582, -0.007951,0.019185, -0.008260, 0.020384, -0.009613, -0.004419
-0.009030, -0.012425,0.023048, -0.005995, 0.015854, -0.009624, -0.004489
-0.009978, -0.006120,0.024114, -0.007594, 0.017186, -0.009661, -0.004427
-0.007993, -0.011284,0.020917, -0.007194, 0.015055, -0.009656, -0.004482
-0.005019, -0.007596,0.023448, -0.007327, 0.018252, -0.009592, -0.004452
-0.007814, -0.004311,0.022649, -0.004796, 0.018385, -0.009575, -0.004361
-0.006905, -0.006025,0.021982, -0.007327, 0.016254, -0.009551, -0.004308
-0.009657, -0.005713,0.020517, -0.006795, 0.014655, -0.009579, -0.004256
-0.014795, -0.005222,0.017453, -0.006661, 0.014788, -0.009710, -0.004206
-0.006457, -0.013249,0.021849, -0.004796, 0.017986, -0.009664, -0.004302
-0.006488, -0.005272,0.021716, -0.006262, 0.017586, -0.009625, -0.004236
-0.013178, -0.008110,0.020783, -0.008127, 0.015321, -0.009728, -0.004232
-0.014823, -0.011671,0.022782, -0.008260, 0.015854, -0.009862, -0.004291
-0.011708, -0.009272,0.020250, -0.008393, 0.015588, -0.009932, -0.004312
-0.005352, -0.009146,0.021849, -0.009326, 0.014921, -0.009877, -0.004323
-0.009714, -0.008095,0.022649, -0.005729, 0.019051, -0.009896, -0.004309
-0.006424, -0.010171,0.023448, -0.005329, 0.012923, -0.009847, -0.004335
-0.010757, -0.011366,0.022116, -0.008660, 0.013056, -0.009899, -0.004389
-0.004958, -0.003685,0.020250, -0.006528, 0.014921, -0.009826, -0.004295
-0.010368, -0.012537,0.023848, -0.003864, 0.010658, -0.009852, -0.004366
-0.019040, -0.009725,0.022915, -0.006928, 0.014522, -0.010063, -0.004384
-0.009672, -0.006918,0.022116, -0.005063, 0.018119, -0.010075, -0.004348
-0.009381, -0.017277,0.018252, -0.007594, 0.013989, -0.010091, -0.004535
